Subject,Song_ID,Familiarity,theta_frontal,theta_central,theta_parietal,alpha_frontal,alpha_central,alpha_parietal,Enjoyment
4,2,2,5.1001162123203367e-11,9.962781263709708e-11,1.0974785219776911e-10,-0.2152727052582999,0.4458704099160672,-0.5927017472265128,1
4,3,2,3.81644952188225e-11,7.727021414765837e-11,9.048588893964536e-11,-0.1241740583134854,0.3286602822217499,-0.4810338004782012,1
4,8,1,4.58860989895096e-11,9.039597266025644e-11,1.077923208938244e-10,-0.1729390018355711,0.3395297200438926,-0.4395239937460219,1
4,9,1,4.0657758633629387e-11,8.706227522299348e-11,9.9348912517417e-11,-0.1828319612108303,0.3670809725534113,-0.4811383284751627,1
4,11,1,3.6184648343751337e-11,8.525479094063844e-11,8.958112457705353e-11,-0.1581895905790659,0.3082173710073574,-0.408610194969386,1
4,12,2,4.221996922307474e-11,8.936817696736298e-11,1.0712177870911731e-10,-0.1878014480887768,0.4132745275804599,-0.5614217476358887,1
7,2,1,2.808434300111725e-10,3.8447973920191157e-10,4.14722204451684e-10,-0.5193118510137003,0.2044454685380566,0.2127009292682384,1
7,3,2,2.19727698243645e-10,3.1219506156051307e-10,3.374993069257885e-10,-0.5208623408233719,0.2182125152185389,0.1917094086567252,1
7,4,1,2.2272138494420995e-10,2.980893726842909e-10,3.19728712820786e-10,-0.5431742483873467,0.1983131447310016,0.2458944717747541,1
7,5,1,5.568900154217241e-10,7.463947133342272e-10,7.808187103577677e-10,-0.4662148172544858,0.151480783810256,0.2497923160980299,1
7,6,1,1.5218486895749178e-10,2.2928545042004815e-10,2.3232625690271055e-10,-0.5072277199828443,0.2296875667445571,0.1577447377551444,1
8,9,2,2.1882102180635077e-11,4.3852466910370513e-11,1.2240038562308858e-10,0.7944382842187259,-0.1399269528395734,-0.6765334228309923,5
8,10,5,1.635641773345944e-11,3.237770559547994e-11,3.097108333103561e-09,0.6493782724846293,0.0715085981937716,-0.8845877477218071,1
8,12,2,1.8510456838729082e-11,3.776419783020345e-11,1.0630080140254039e-10,0.6757884359113389,-0.0431590550936216,-0.7196688553676434,1
9,7,2,2.272397976964431e-11,2.7107150456965987e-11,1.9636990724325954e-10,0.1603007901829063,0.3859725233714639,-0.9171401755861844,1
11,8,1,3.0674518403533476e-11,1.0184547898719796e-10,5.1933428034583526e-11,-0.2521633781265959,0.1380919799468078,0.0433126967195942,1
12,3,5,3.2687674824411535e-11,7.935435563276082e-11,9.909382260250131e-11,-0.2201992509434653,0.2153998013838671,-0.1526746935550327,5
12,6,5,3.575001476667792e-11,8.310144400621874e-11,1.0973542917468869e-10,-0.1463374089003322,0.174583459402546,-0.1681135214397751,5
12,7,2,3.3318874756048964e-11,7.974037738627119e-11,1.1198692485007784e-10,-0.2192621109529274,0.2268476114927945,-0.178978477951246,1
12,8,5,2.513728580094308e-11,5.932890095450665e-11,7.499107024782956e-11,-0.2783832731916171,0.172487249253613,-0.011604118392991,5
12,9,5,2.8030577292534717e-11,7.391907595699922e-11,1.0286175424801416e-10,-0.2326309194802779,0.2029858375105125,-0.1164771797641541,5
14,7,1,2.1691723222432503e-11,3.2157634793541775e-11,5.1215004306583666e-11,-0.5853074963073678,0.0914584405663139,0.4741190902850144,1
15,3,5,2.3210518460008164e-10,2.340233785427003e-10,2.4393628581426226e-10,-0.6237554854322851,-0.1691240055820771,0.8590658330336338,5
16,6,5,1.638935693502156e-11,1.926031482615754e-11,5.02591695535225e-11,-0.6959844802963157,0.3250257174068598,0.2061621095069288,5
16,8,1,1.6881147792295347e-11,2.6279154196965027e-11,4.2188514205279235e-11,-0.7470295264118383,0.320358318359861,0.2765578421874015,1
16,10,5,1.7536217839296694e-11,2.189950400809989e-11,3.805979377274808e-11,-0.6268821820747467,0.2583020004443569,0.2501030311680645,5
16,12,5,2.1638423955825535e-11,3.593413894305885e-11,1.3480930571391754e-10,-0.731694943060055,0.2299461867615639,0.4157979201125401,5
17,11,2,1.2021647275171845e-11,2.945754403304129e-11,6.218322614667386e-11,-0.2774604183660258,-0.1296056789783611,0.5466205995439497,1
18,6,5,1.41992454161097e-10,1.4596749206177663e-10,1.9569842230993407e-10,-0.5074731432487547,-0.0851841639234573,0.7318443086416103,1
19,11,2,2.649929218422323e-11,3.675122402309226e-11,2.9845984077491587e-06,-0.0929154172067785,-0.0886860658038919,0.2737336232417021,1
20,2,5,9.971126194410911e-11,1.9544098454435107e-11,2.6255835245120248e-11,-0.6003484341536615,0.4717750079428586,-0.1594904251559143,1
20,3,5,1.2784653514856614e-10,2.6246406075245886e-11,3.082715698798823e-11,-0.5685504692647694,0.4882952710912154,-0.2130996625286216,1
20,11,5,1.169475851569283e-10,2.000973858131137e-11,2.6583637771948128e-11,-0.6036953449774018,0.4429684453247318,-0.1069256457282894,1
