,Subject,Song_ID,Enjoyment,Frontal_Alpha_Power,Overall_Alpha_Power,N_Frontal_Channels
0,1,9,1,-95.88877244261917,-93.71048660188947,36
1,1,11,1,-96.04639834015909,-93.94556849630213,36
2,2,11,1,-86.14968812918124,-84.79091369887473,36
3,4,2,1,-82.07708336184311,-81.67581205052171,36
4,4,3,1,-81.94425839361345,-81.53390583129483,36
5,4,4,5,-81.59655422780877,-81.18801208013997,36
6,4,8,1,-81.46101192797654,-81.00244257725004,36
7,4,9,1,-81.86687593965051,-81.3751769496257,36
8,4,11,1,-81.59333202001885,-81.0881822609066,36
9,4,12,1,-82.27436405097092,-81.79500246886664,36
10,7,2,1,-87.09610733944419,-85.66826498811703,36
11,7,3,1,-85.94006806454755,-84.74803630925258,36
12,7,4,1,-86.15306137035428,-84.64698227492583,36
13,7,5,1,-86.83050235723067,-85.30744975748496,36
14,8,9,5,-85.01808343139842,-86.36830558414054,36
15,8,10,1,-85.74447081972662,-86.85077755492465,36
16,8,12,1,-85.94019286958188,-87.1748348210213,36
17,9,7,1,-83.71243626384512,-83.93999466329774,36
18,11,7,1,-99.06768678457493,-98.47858015440221,36
19,11,8,1,-99.27316205309042,-98.6173539415593,36
20,11,9,1,-99.51232869713708,-98.63209776100622,36
21,12,3,5,-89.26432621860967,-88.76922140971604,36
22,12,7,1,-89.14282586712939,-88.76285173611684,36
23,12,8,5,-89.81968970730242,-89.1427873283399,36
24,12,9,5,-89.40582843755477,-88.8661446745273,36
25,13,5,1,-61.432192498533205,-60.52983661770629,36
26,14,7,1,-94.9104795224804,-93.58159489005158,36
27,14,8,5,-94.81288304785579,-93.56045608272939,36
28,15,3,5,-99.09922391920836,-97.41427226417908,36
29,15,8,5,-99.23970138340921,-97.57416432948322,36
30,16,8,1,-90.47959055250591,-88.69453712654017,36
31,16,10,5,-90.82305135536014,-89.02304124379538,36
32,16,12,5,-91.48701050686134,-89.41208810507234,36
33,17,8,1,-84.45896408922097,-83.52027350681023,36
34,17,11,1,-85.23920750257606,-84.36236532143552,36
35,17,12,1,-85.67834033445979,-84.76511577593855,36
36,18,3,5,-74.76806735047306,-74.3108299741362,36
37,18,11,1,-86.26896694383514,-84.73029693425453,36
38,19,2,1,-92.2986529382225,-90.62379097540702,36
39,19,10,1,-92.15326236120629,-90.761724511847,36
40,19,11,1,-66.74431309688677,-66.41299699789522,36
41,20,2,1,-84.31521534993114,-82.88777882912399,36
42,20,3,1,-84.06618430534269,-82.31759409513344,36
43,20,10,1,-84.12358163386327,-82.44611188765171,36
44,20,11,1,-84.61174595283225,-83.36027161440273,36
