Subject,Song_ID,Enjoyment,Familiarity,Familiarity_Group,theta_frontal,theta_central,theta_parietal
1,1,2,2,Low,3.4306895076301086e-12,7.743988427256852e-12,1.4979004960408965e-11
1,2,3,2,Low,7.892173110916973e-12,1.7927289818382576e-11,7.240834692547747e-11
1,4,2,2,Low,6.062566791841108e-12,1.3699900269401918e-11,2.489805049168384e-11
1,5,2,2,Low,7.1485521598370155e-12,1.5756235531060603e-11,3.953644659743477e-11
1,8,2,2,Low,5.289678446558794e-12,1.1913620989699539e-11,2.929799953382052e-11
1,12,2,2,Low,7.1741328745499846e-12,1.3249160814517714e-11,1.1582568910484715e-10
2,4,2,5,High,5.7326433847225855e-11,2.083538787366592e-11,1.1017516093754478e-10
2,8,2,2,Low,1.85298182937906e-11,1.1694848930596155e-11,1.761375708785355e-11
3,2,2,2,Low,1.262339924551067e-11,3.445482598971149e-11,1.314832313498106e-07
3,3,4,2,Low,7.50254426576732e-12,1.6370614535534096e-11,2.3891169059340367e-11
3,8,2,2,Low,9.098289556166351e-12,1.6349681151213612e-11,2.1985850306294423e-11
3,9,3,2,Low,1.1421294201486936e-11,2.3706973662391302e-11,8.949057078902618e-11
4,2,1,2,Low,5.100116212320337e-11,9.962781263709709e-11,1.0974785219776911e-10
4,3,1,2,Low,3.81644952188225e-11,7.727021414765837e-11,9.048588893964535e-11
4,5,3,2,Low,4.430477848062939e-11,9.42183473338556e-11,1.232401034810689e-10
4,7,2,2,Low,3.564850791611923e-11,8.82190970501931e-11,8.832403530925422e-11
4,8,1,1,Low,4.58860989895096e-11,9.039597266025644e-11,1.0779232089382439e-10
4,9,1,1,Low,4.0657758633629387e-11,8.706227522299348e-11,9.9348912517417e-11
4,11,1,1,Low,3.6184648343751337e-11,8.525479094063844e-11,8.958112457705353e-11
4,12,1,2,Low,4.221996922307474e-11,8.936817696736299e-11,1.0712177870911732e-10
5,1,2,5,High,1.5078708014946644e-10,3.396737634084522e-11,5.4487262256458166e-11
5,2,3,5,High,1.5535096053170893e-10,5.2722976848019204e-11,8.090985562362197e-11
5,3,3,5,High,7.310794097301339e-11,6.674784276636557e-11,1.0013942100285743e-10
5,4,2,5,High,2.127071136502397e-10,7.529015135914641e-11,1.1495262390568024e-10
5,6,2,5,High,2.0394166346439094e-10,6.663887320769687e-11,1.0298737599567697e-10
5,9,2,5,High,1.2982752193468573e-10,4.467813566927949e-11,7.004433511149218e-11
5,10,2,5,High,3.779834467540301e-11,5.745025030578842e-11,8.682910537635858e-11
6,2,2,1,Low,3.2962109563359724e-12,8.865371333568139e-12,2.08438099493901e-11
6,9,3,2,Low,3.5150214820827354e-12,9.670863496338588e-12,1.8955857650474895e-11
7,2,1,1,Low,2.8084343001117253e-10,3.844797392019116e-10,4.1472220445168404e-10
7,3,1,2,Low,2.19727698243645e-10,3.1219506156051307e-10,3.374993069257885e-10
7,4,1,1,Low,2.2272138494420995e-10,2.980893726842909e-10,3.19728712820786e-10
7,5,1,1,Low,5.568900154217241e-10,7.463947133342272e-10,7.808187103577677e-10
7,6,1,1,Low,1.5218486895749178e-10,2.2928545042004817e-10,2.3232625690271058e-10
7,9,4,5,High,5.3186221860342964e-11,8.53165705689475e-11,1.1293287086417915e-10
7,10,3,5,High,1.8937503940603286e-10,2.5629365189679445e-10,2.753874515889094e-10
8,1,3,5,High,1.5156009046634335e-11,3.039849926151515e-11,1.9198244444864585e-09
8,2,2,1,Low,1.875375024774995e-11,3.7473216376023766e-11,4.9402632431893577e-11
8,9,5,2,Low,2.1882102180635073e-11,4.3852466910370513e-11,1.2240038562308858e-10
8,10,1,5,High,1.635641773345944e-11,3.237770559547994e-11,3.097108333103561e-09
8,12,1,2,Low,1.8510456838729085e-11,3.776419783020345e-11,1.0630080140254039e-10
9,1,3,5,High,1.2175550677494521e-11,1.7098732649411436e-11,5.7122048736165276e-11
9,5,2,5,High,1.9625218358785545e-11,1.9051805934507856e-11,7.361617940798773e-11
9,6,3,5,High,2.4910080954150803e-11,1.769703244130304e-11,2.6659237072775254e-10
9,7,1,2,Low,2.272397976964431e-11,2.710715045696599e-11,1.9636990724325954e-10
9,8,3,1,Low,1.3031972670776661e-11,2.0498264419581284e-11,1.065482268275775e-10
9,9,2,2,Low,1.9002944278705152e-11,1.673788356162413e-11,2.2020370053912695e-10
10,7,2,2,Low,4.70293275867331e-10,3.178283302240216e-11,2.5413636157195957e-11
10,9,4,5,High,5.196935682938558e-10,1.9097385512590943e-11,1.9444930230349647e-11
10,10,2,2,Low,3.3297401425149144e-10,2.459369031301807e-11,2.302565781250633e-11
11,8,1,1,Low,3.0674518403533476e-11,1.0184547898719797e-10,5.193342803458353e-11
12,2,4,5,High,3.145582815494835e-11,7.712839904277357e-11,1.001723815416732e-10
12,3,5,5,High,3.268767482441154e-11,7.935435563276082e-11,9.909382260250132e-11
12,4,2,5,High,3.462672710175877e-11,9.093833075123516e-11,1.1100244618769582e-10
12,5,4,5,High,3.3868102019760005e-11,8.528172660276168e-11,1.1546164427460075e-10
12,6,5,5,High,3.5750014766677916e-11,8.310144400621874e-11,1.097354291746887e-10
12,7,1,2,Low,3.3318874756048964e-11,7.974037738627119e-11,1.1198692485007784e-10
12,8,5,5,High,2.5137285800943077e-11,5.932890095450666e-11,7.499107024782956e-11
12,9,5,5,High,2.803057729253472e-11,7.391907595699922e-11,1.0286175424801417e-10
12,10,3,5,High,3.241527699135851e-11,7.982172497273186e-11,1.0129893177223215e-10
12,11,2,2,Low,3.685549967876119e-11,8.775202583521186e-11,1.2290611535796076e-10
13,1,3,5,High,3.036840659759191e-08,5.057683529379742e-08,3.898221918586256e-08
13,2,4,5,High,3.2842473816749765e-08,5.224006392848843e-06,2.661745322550529e-06
