Subject,Song_ID,Familiarity,Familiarity_Group,channel,theta_power
1,1,2,Low,E1,1.0683617618189834e-11
1,1,2,Low,E2,7.891757459428773e-12
1,1,2,Low,E3,5.1042066247161686e-12
1,1,2,Low,E4,2.7291294530035726e-12
1,1,2,Low,E5,1.9733124510227066e-12
1,1,2,Low,E6,8.973748358419389e-13
1,1,2,Low,E7,5.249348370799459e-13
1,1,2,Low,E8,1.2451089791099002e-11
1,1,2,Low,E9,7.646376135316813e-12
1,1,2,Low,E10,4.478295440073002e-12
1,1,2,Low,E11,3.1171980703475733e-12
1,1,2,Low,E12,2.113402920722191e-12
1,1,2,Low,E13,1.6321759724639027e-12
1,1,2,Low,E14,9.340130026126543e-12
1,1,2,Low,E15,6.459192257315015e-12
1,1,2,Low,E16,4.00274941439953e-12
1,1,2,Low,E17,9.323918478500298e-12
1,1,2,Low,E18,3.697994318329478e-12
1,1,2,Low,E19,3.2514743820225725e-12
1,1,2,Low,E20,2.8551183474249846e-12
1,1,2,Low,E21,8.726266950259591e-12
1,1,2,Low,E22,6.2219664013012625e-12
1,1,2,Low,E23,5.043595669727127e-12
1,1,2,Low,E24,4.097055950356165e-12
1,1,2,Low,E25,9.935556764636792e-12
1,1,2,Low,E26,9.54490094181764e-12
1,1,2,Low,E27,5.777987434842276e-12
1,1,2,Low,E28,4.237439110428179e-12
1,1,2,Low,E29,2.5586179220137446e-12
1,1,2,Low,E30,1.506259927353889e-12
1,1,2,Low,E31,2.658818227777382e-13
1,1,2,Low,E32,1.0435795453399288e-11
1,1,2,Low,E33,8.700887386787118e-12
1,1,2,Low,E34,5.894655573363634e-12
1,1,2,Low,E35,5.01303378045007e-12
1,1,2,Low,E36,2.4023766018013027e-12
1,1,2,Low,E37,3.4736261274924894e-13
1,1,2,Low,E38,1.0979066441127951e-11
1,1,2,Low,E39,8.262771849906107e-12
1,1,2,Low,E40,5.917481116698264e-12
1,1,2,Low,E41,4.028473602169912e-12
1,1,2,Low,E42,3.5009281414853225e-12
1,1,2,Low,E43,1.2489514358729062e-11
1,1,2,Low,E44,1.1280700215531756e-11
1,1,2,Low,E45,8.646470752931105e-12
1,1,2,Low,E46,5.394381640985642e-12
1,1,2,Low,E47,5.084149843296524e-12
1,1,2,Low,E48,1.252190276582695e-11
1,1,2,Low,E49,1.353952261193887e-11
1,1,2,Low,E50,8.317233358199328e-12
1,1,2,Low,E51,5.883274861707931e-12
1,1,2,Low,E52,4.8183410836046846e-12
1,1,2,Low,E53,2.2456080484822813e-12
